,lat,lng,location
0,37.7814644,-122.4052868,"{'type': 'Point', 'coordinates': [-122.4052868, 37.7814644]}"
1,37.786127,-122.4189571,"{'type': 'Point', 'coordinates': [-122.4189571, 37.786127]}"
2,37.7862381,-122.4087384,"{'type': 'Point', 'coordinates': [-122.4087384, 37.7862381]}"
3,37.7986004,-122.4244825,"{'type': 'Point', 'coordinates': [-122.4244825, 37.7986004]}"
4,37.8062556,-122.4227139,"{'type': 'Point', 'coordinates': [-122.4227139, 37.8062556]}"
5,37.78882249999999,-122.4109711,"{'type': 'Point', 'coordinates': [-122.4109711, 37.78882249999999]}"
6,37.7647292,-122.4230192,"{'type': 'Point', 'coordinates': [-122.4230192, 37.7647292]}"
7,37.75984640000001,-122.4210876,"{'type': 'Point', 'coordinates': [-122.4210876, 37.75984640000001]}"
8,37.7652484,-122.4782002,"{'type': 'Point', 'coordinates': [-122.4782002, 37.7652484]}"
9,37.7819955,-122.4491776,"{'type': 'Point', 'coordinates': [-122.4491776, 37.7819955]}"
10,37.7678678,-122.4531374,"{'type': 'Point', 'coordinates': [-122.4531374, 37.7678678]}"
11,37.7524975,-122.4165414,"{'type': 'Point', 'coordinates': [-122.4165414, 37.7524975]}"
12,37.79955229999999,-122.4097534,"{'type': 'Point', 'coordinates': [-122.4097534, 37.79955229999999]}"
13,37.7903861,-122.4046694,"{'type': 'Point', 'coordinates': [-122.4046694, 37.7903861]}"
14,37.7504268,-122.4202389,"{'type': 'Point', 'coordinates': [-122.4202389, 37.7504268]}"
15,37.7426758,-122.4871254,"{'type': 'Point', 'coordinates': [-122.4871254, 37.7426758]}"
16,37.7901861,-122.4040777,"{'type': 'Point', 'coordinates': [-122.4040777, 37.7901861]}"
17,37.7828495,-122.4640645,"{'type': 'Point', 'coordinates': [-122.4640645, 37.7828495]}"
18,37.7719042,-122.4312295,"{'type': 'Point', 'coordinates': [-122.4312295, 37.7719042]}"
19,37.7830143,-122.4662435,"{'type': 'Point', 'coordinates': [-122.4662435, 37.7830143]}"
